...1.x,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,SEASON,...1.y,TeamID,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,feet,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,HOW_ACQUIRED,position_group
0,202357,2015-16,00,1610612750,MIN,28,60,0,1075,110,235,0.468,48,125,0.384,40,55,0.727,49,161,210,82,26,21,47,154,308,2015,13,1610612750,00,Nemanja Bjelica,Nemanja,nemanja-bjelica,88,F,82,6,240,"MAY 09, 1988",28,R,NA,NA,forward
1,202357,2016-17,00,1610612750,MIN,29,65,1,1190,151,356,0.424,56,177,0.316,45,61,0.738,57,187,244,79,40,20,59,154,403,2016,14,1610612750,00,Nemanja Bjelica,Nemanja,nemanja-bjelica,88,F,82,6,225,"MAY 09, 1988",29,1,NA,NA,forward
2,202357,2017-18,00,1610612750,MIN,30,67,21,1371,171,371,0.461,76,183,0.415,36,45,0.8,53,221,274,86,50,16,52,141,454,2017,4,1610612750,00,Nemanja Bjelica,Nemanja,nemanja-bjelica,8,F,82,6,230,"MAY 09, 1988",30,2,NA,NA,forward
1,203940,2014-15,00,1610612750,MIN,24,29,22,720,89,213,0.418,1,8,0.125,29,44,0.659,47,111,158,30,18,9,44,84,208,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,203940,2015-16,00,1610612750,MIN,25,52,2,486,53,145,0.366,9,32,0.281,17,26,0.654,20,91,111,29,16,11,36,77,132,2015,12,1610612750,00,Adreian Payne,Adreian,adreian-payne,33,F,82,6,237,"FEB 19, 1991",25,1,Michigan State,NA,forward
4,203940,2016-17,00,1610612750,MIN,26,18,0,135,23,54,0.426,3,15,0.2,14,19,0.737,9,24,33,7,8,7,8,32,63,2016,12,1610612750,00,Adreian Payne,Adreian,adreian-payne,33,F,82,6,237,"FEB 19, 1991",26,2,Michigan State,NA,forward
0,1626157,2015-16,00,1610612750,MIN,20,82,82,2627,625,1153,0.542,30,88,0.341,223,275,0.811,229,629,858,161,58,138,183,245,1503,2015,11,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,84,7,244,"NOV 15, 1995",20,R,Kentucky,#1 Pick in 2015 Draft,center
1,1626157,2016-17,00,1610612750,MIN,21,82,82,3030,802,1480,0.542,101,275,0.367,356,428,0.832,296,711,1007,220,56,103,212,241,2061,2016,11,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,84,7,244,"NOV 15, 1995",21,1,Kentucky,#1 Pick in 2015 Draft,center
2,1626157,2017-18,00,1610612750,MIN,22,82,82,2918,639,1172,0.545,120,285,0.421,345,402,0.858,238,774,1012,199,64,115,159,285,1743,2017,13,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,84,7,248,"NOV 15, 1995",22,2,Kentucky,#1 Pick in 2015 Draft,center
3,1626157,2018-19,00,1610612750,MIN,23,77,77,2545,681,1314,0.518,142,355,0.4,376,450,0.836,263,691,954,259,67,125,240,292,1880,2018,12,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,84,7,248,"NOV 15, 1995",23,3,Kentucky,#1 Pick in 2015 Draft,center
4,1626157,2019-20,00,1610612750,MIN,24,35,35,1187,316,622,0.508,114,277,0.412,180,226,0.796,95,283,378,153,33,42,110,117,926,2019,14,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,83,6,248,"NOV 15, 1995",24,4,Kentucky,#1 Pick in 2015 Draft,center
5,1626157,2020-21,00,1610612750,MIN,25,50,50,1689,425,875,0.486,122,315,0.387,267,311,0.859,133,396,529,225,39,57,160,186,1239,2020,13,1610612750,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,83,6,248,"NOV 15, 1995",25,5,Kentucky,#1 Pick in 2015 Draft,center
