,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_ID
1,1630162,Anthony Edwards,1610612750,MIN,21.0,6-4,76,225,Georgia,USA,2020,1,1,79,24.6,5.8,4.4,1.9,0.017,0.139,0.292,0.564,0.192,2022-23
2,203085,Austin Rivers,1610612750,MIN,30.0,6-4,76,200,Duke,USA,2012,1,10,52,4.9,1.6,1.4,-4.9,0.005,0.078,0.104,0.564,0.095,2022-23
3,1627854,Bryn Forbes,1610612750,MIN,29.0,6-2,74,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,25,3.6,0.6,0.7,-8.5,0.015,0.04,0.155,0.497,0.087,2022-23
5,1630183,Jaden McDaniels,1610612750,MIN,22.0,6-9,81,185,Washington,USA,2020,1,28,79,12.1,3.9,1.9,2.0,0.039,0.086,0.156,0.611,0.082,2022-23
6,1629669,Jaylen Nowell,1610612750,MIN,23.0,6-4,76,201,Washington,USA,2019,2,43,65,10.8,2.6,2.0,0.0,0.028,0.107,0.238,0.527,0.156,2022-23
7,1629162,Jordan McLaughlin,1610612750,MIN,27.0,6-0,72,185,Southern California,USA,Undrafted,Undrafted,Undrafted,43,3.7,1.4,3.4,5.8,0.022,0.065,0.112,0.526,0.264,2022-23
8,1631169,Josh Minott,1610612750,MIN,20.0,6-8,80,205,Memphis,USA,2022,2,45,15,3.1,1.7,0.3,10.4,0.054,0.194,0.176,0.582,0.065,2022-23
9,1626157,Karl-Anthony Towns,1610612750,MIN,27.0,7-0,84,248,Kentucky,USA,2015,1,1,29,20.8,8.1,4.8,1.8,0.05,0.181,0.25,0.618,0.225,2022-23
10,203937,Kyle Anderson,1610612750,MIN,29.0,6-9,81,230,UCLA,USA,2014,1,30,69,9.4,5.3,4.9,2.3,0.035,0.152,0.143,0.583,0.225,2022-23
11,1630568,Luka Garza,1610612750,MIN,24.0,6-10,82,243,Iowa,USA,2021,2,52,28,6.5,2.3,0.6,2.0,0.13,0.128,0.245,0.652,0.103,2022-23
12,1630346,Matt Ryan,1610612750,MIN,26.0,6-6,78,215,Tennessee-Chattanooga,USA,Undrafted,Undrafted,Undrafted,22,3.4,0.5,0.5,4.9,0.012,0.053,0.147,0.604,0.081,2022-23
13,201144,Mike Conley,1610612750,MIN,35.0,6-1,73,175,Ohio State,USA,2007,1,4,24,14.0,3.1,5.0,1.5,0.021,0.078,0.165,0.631,0.214,2022-23
14,1630233,Nathan Knight,1610612750,MIN,25.0,6-8,80,253,William & Mary,USA,Undrafted,Undrafted,Undrafted,38,3.7,1.5,0.3,-2.3,0.072,0.118,0.177,0.655,0.065,2022-23
15,1629675,Naz Reid,1610612750,MIN,23.0,6-9,81,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,68,11.5,4.9,1.1,-4.2,0.058,0.205,0.242,0.617,0.098,2022-23
16,1629638,Nickeil Alexander-Walker,1610612750,MIN,24.0,6-5,77,205,Virginia Tech,Canada,2019,1,17,23,5.9,1.8,1.4,-3.7,0.019,0.095,0.167,0.503,0.119,2022-23
17,203497,Rudy Gobert,1610612750,MIN,31.0,7-1,85,258,None,France,2013,1,27,70,13.4,11.6,1.2,0.4,0.111,0.26,0.161,0.675,0.058,2022-23
18,1627752,Taurean Prince,1610612750,MIN,29.0,6-6,78,218,Baylor,USA,2016,1,12,54,9.1,2.4,1.6,0.9,0.013,0.096,0.165,0.597,0.094,2022-23
19,1631111,Wendell Moore Jr.,1610612750,MIN,21.0,6-5,77,215,Duke,USA,2022,1,26,29,1.4,0.6,0.6,-13.5,0.025,0.086,0.139,0.465,0.162,2022-23
0,1630162,Anthony Edwards,1610612750,MIN,20.0,6-4,76,225,Georgia,USA,2020,1,1,72,21.3,4.8,3.8,4.0,0.023,0.113,0.262,0.56,0.173,2021-22
2,1626156,D'Angelo Russell,1610612750,MIN,26.0,6-4,76,193,Ohio State,USA,2015,1,2,65,18.1,3.3,7.1,4.7,0.011,0.089,0.246,0.544,0.32,2021-22
3,202328,Greg Monroe,1610612750,MIN,32.0,6-10,82,250,Georgetown,USA,2010,1,7,4,7.3,6.0,4.0,-0.5,0.069,0.191,0.16,0.578,0.271,2021-22
4,1630183,Jaden McDaniels,1610612750,MIN,21.0,6-9,81,185,Washington,USA,2020,1,28,70,9.2,4.2,1.1,0.6,0.038,0.115,0.149,0.553,0.063,2021-22
5,1627774,Jake Layman,1610612750,MIN,28.0,6-8,80,209,Maryland,USA,2016,2,47,34,2.4,1.1,0.3,-3.4,0.025,0.123,0.16,0.5,0.055,2021-22
6,1629020,Jarred Vanderbilt,1610612750,MIN,23.0,6-9,81,214,Kentucky,USA,2018,2,41,74,6.9,8.4,1.3,5.0,0.107,0.212,0.108,0.612,0.066,2021-22
7,1629669,Jaylen Nowell,1610612750,MIN,22.0,6-4,76,201,Washington,USA,2019,2,43,62,8.5,2.0,2.1,2.8,0.022,0.1,0.205,0.581,0.197,2021-22
8,1629162,Jordan McLaughlin,1610612750,MIN,26.0,5-11,71,185,Southern California,USA,Undrafted,Undrafted,Undrafted,62,3.8,1.5,2.9,2.4,0.023,0.075,0.115,0.535,0.258,2021-22
9,1629006,Josh Okogie,1610612750,MIN,23.0,6-4,76,213,Georgia Tech,Nigeria,2018,1,20,49,2.7,1.4,0.5,2.5,0.049,0.077,0.115,0.526,0.066,2021-22
10,1626157,Karl-Anthony Towns,1610612750,MIN,26.0,6-11,83,248,Kentucky,USA,2015,1,1,74,24.6,9.8,3.6,5.3,0.074,0.21,0.272,0.64,0.177,2021-22
11,1630195,Leandro Bolmaro,1610612750,MIN,21.0,6-6,78,200,None,Argentina,2020,1,23,35,1.4,1.2,0.6,0.2,0.062,0.107,0.122,0.419,0.118,2021-22
