,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
0,28,Doug,West,Doug West,"West, Doug",D. West,doug-west,1967-05-27T00:00:00,Villanova,USA,Villanova/USA,,,12,,Guard,Inactive,N,0,,,,,doug_west,1989,2000,N,Y,Y,1989,2,38,N
0,78110,Brad,Sellers,Brad Sellers,"Sellers, Brad",B. Sellers,brad-sellers,1962-12-17T00:00:00,Ohio State,USA,Ohio State/USA,7-0,210,6,4,Forward,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,HISTADD_brad_sellers,1986,1992,N,Y,Y,1986,1,9,N
0,140,Donald,Royal,Donald Royal,"Royal, Donald",D. Royal,donald-royal,1966-05-22T00:00:00,Notre Dame,USA,Notre Dame/USA,6-8,218,8,5,Forward,Inactive,N,1610612753,Magic,ORL,magic,Orlando,donald_royal,1989,1997,N,Y,Y,1987,3,52,N
0,78022,Scott,Roth,Scott Roth,"Roth, Scott",S. Roth,scott-roth,1963-06-03T00:00:00,Wisconsin,USA,Wisconsin/USA,6-8,212,3,3,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_scott_roth,1987,1989,N,Y,Y,1985,4,82,N
0,71,Pooh,Richardson,Pooh Richardson,"Richardson, Pooh",P. Richardson,pooh-richardson,1966-05-14T00:00:00,UCLA,USA,UCLA/USA,6-1,180,10,,Guard,Inactive,N,0,,,,,pooh_richardson,1989,1998,N,Y,Y,1989,1,10,N
0,77674,Tod,Murphy,Tod Murphy,"Murphy, Tod",T. Murphy,tod-murphy,1963-12-24T00:00:00,California-Irvine,USA,California-Irvine/USA,6-9,220,5,41,Center,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_tod_murphy,1987,1993,N,Y,Y,1986,3,53,N
0,417,Sam,Mitchell,Sam Mitchell,"Mitchell, Sam",S. Mitchell,sam-mitchell,1963-09-02T00:00:00,Mercer,USA,Mercer/USA,6-7,215,13,42,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,sam_mitchell,1989,2001,N,Y,Y,1985,3,54,N
0,77415,Sidney,Lowe,Sidney Lowe,"Lowe, Sidney",S. Lowe,sidney-lowe,1960-01-21T00:00:00,North Carolina State,USA,North Carolina State/USA,6-0,195,4,35,Guard,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_sidney_lowe,1983,1989,N,Y,Y,1983,2,25,N
0,77370,Gary,Leonard,Gary Leonard,"Leonard, Gary",G. Leonard,gary-leonard,1967-02-16T00:00:00,Missouri,USA,Missouri/USA,7-1,250,3,34,Center,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_gary_leonard,1989,1991,N,Y,Y,1989,2,34,N
0,895,Tyrone,Corbin,Tyrone Corbin,"Corbin, Tyrone",T. Corbin,tyrone-corbin,1962-12-31T00:00:00,DePaul,USA,DePaul/USA,,,16,,Forward,Inactive,N,0,,,,,tyrone_corbin,1985,2000,N,Y,Y,1985,2,35,N
0,76338,Tony,Campbell,Tony Campbell,"Campbell, Tony",T. Campbell,tony-campbell,1962-05-07T00:00:00,Ohio State,USA,Ohio State/USA,6-7,215,11,9,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,HISTADD_tony_campbell,1984,1994,N,Y,Y,1984,1,20,N
0,76247,Randy,Breuer,Randy Breuer,"Breuer, Randy",R. Breuer,randy-breuer,1960-10-11T00:00:00,Minnesota,USA,Minnesota/USA,7-3,230,11,45,Center,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADD_randy_breuer,1983,1993,N,Y,Y,1983,1,18,N
0,76237,Adrian,Branch,Adrian Branch,"Branch, Adrian",A. Branch,adrian-branch,1963-11-17T00:00:00,Maryland,USA,Maryland/USA,6-7,185,4,1,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_adrian_branch,1986,1989,N,Y,Y,1985,2,46,N
